X_0,X_1,y
1.882026172983832,A,0
1.2000786041836116,A,0
1.4893689920528697,B,0
2.120446599600729,B,0
1.9337789950749837,B,0
0.5113610600617945,A,0
1.4750442087627946,B,0
0.924321395851151,B,0
0.948390574103221,B,0
1.2052992509691862,B,0
1.072021785580439,A,0
1.7271367534814877,A,0
1.3805188625734968,B,0
1.060837508246414,B,0
1.2219316163727127,A,0
1.1668371636871333,A,0
1.7470395365788032,A,0
0.8974208681170995,B,0
1.1565338508254506,B,0
0.5729521303491376,A,0
-0.27649490791703935,B,0
1.3268092977201804,B,0
1.4322180994297529,B,0
0.6289174897967791,B,0
2.1348773119938036,B,0
0.2728171627006176,A,0
1.022879258650723,A,0
0.9064080749870832,A,0
1.7663896071792289,B,0
1.7346793849501425,A,0
1.0774737128484582,B,0
1.1890812598010867,A,0
0.5561071261849436,B,0
0.009601765888036518,B,0
0.8260439253369237,A,0
1.07817448455199,A,0
1.6151453403638603,A,0
1.6011899243922056,B,0
0.8063365912960239,A,0
0.8488486247123322,A,0
0.4757235174664537,B,0
0.2899910314105124,B,0
0.1468649046874937,B,0
1.9753876976158948,B,0
0.7451739091241733,A,0
0.7809628491944068,B,0
0.3736023199750369,A,0
1.388745177915955,A,0
0.19305107622102424,A,0
0.8936298598930157,A,0
2.5522667194031623,C,1
3.193451248929631,C,1
2.7445974312155634,C,1
2.4096839079387937,B,1
2.9859088858306726,C,1
3.2141659352652088,B,1
3.033258611191584,B,1
3.151235948869891,C,1
2.6828389531595183,C,1
2.8186294170064308,C,1
2.6637697761120247,C,1
2.8202234192297295,C,1
2.593426858977773,C,1
2.1368586988341614,B,1
3.088713071126876,B,1
2.799109531895869,C,1
2.184900826516978,C,1
3.2313911277628873,C,1
2.5463508178083787,C,1
3.0259726978980694,C,1
3.3645452810887684,C,1
3.0644914553787053,C,1
3.5697003422716502,C,1
2.382587089823174,C,1
3.2011708205887746,C,1
2.657594954529843,B,1
2.564601425409059,B,1
2.710575167617792,B,1
2.844223733936314,B,1
3.0280826711148725,C,1
2.417425079608322,C,1
3.4504132434770938,C,1
3.23283121986523,B,1
2.231878156861388,C,1
3.7441260968977996,C,1
3.9479445880152917,C,1
3.5893897855798254,C,1
2.9100375820938247,C,1
2.464623689244729,C,1
3.5272258634655684,C,1
2.7984115265134104,B,1
3.6112225351912137,B,1
3.1041374890384303,B,1
3.4883195182418563,B,1
3.178183198587201,C,1
3.353286584095974,C,1
3.00525001036041,B,1
3.8929352469529177,C,1
3.06345604635181,B,1
3.2009946817223507,B,1
